Serial Title,ISSN (Print),ISSN (Electronic),Publisher Name,Country of Publication,International Bibliography of the Social Sciences (IBSS)
Forum qualitative social research,1438-5627,,Freie Universitat Berlin,Germany,Core Coverage - Actively Indexed
"Forum Stadt: Vierteljahreszeitschrift fur Stadtgeschichte, Soziologie, Denkmalpflege und Stadtentwicklung",2192-8924,,Forum Stadt Verlag,Germany,Core Coverage - Actively Indexed
Forum: A journal of applied research in contemporary politics,1540-8884,,Berkeley Electronic Press,U.S.A.,Core Coverage - Actively Indexed
Foundations of management,2080-7279,,Versita,Poland,Core Coverage - Actively Indexed
Francophonies d'Amerique,1183-2487,,Les Presses de l'Universite d'Ottawa,Canada,Core Coverage - Actively Indexed
French cultural studies,0957-1558,,Sage Publications Ltd,United Kingdom,Core Coverage - Actively Indexed
French politics,1476-3419,,Palgrave Macmillan,United Kingdom,Core Coverage - Actively Indexed
"French politics, culture, and society",1537-6370,,Berghahn Books,United Kingdom,Core Coverage - Actively Indexed
French studies,0016-1128,,Oxford University Press,United Kingdom,Core Coverage - Actively Indexed
Fronteras de la historia,2027-4688,,Instituto Colombiano de Antropologia e Historia,Colombia,Core Coverage - Actively Indexed
Frontiers in finance and economics,1814-2044,,ESC Lille,France,Core Coverage - Actively Indexed
Futuribles,0337-307X,,Futuribles,France,Selective Coverage - Actively Indexed
Games and economic behavior,0899-8256,,Academic Press,U.S.A.,Core Coverage - Actively Indexed
Gender and behaviour,1596-9231,,Ife Psychologia,Nigeria,Core Coverage - Actively Indexed
Gender and development,1355-2074,,"Routledge, Taylor and Francis",United Kingdom,Core Coverage - Actively Indexed
Gender and education,0954-0253,,"Routledge, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Gender and history,0953-5233,1468-0424,Wiley-Blackwell Publishing Ltd,United Kingdom,Core Coverage - Actively Indexed
Gender and society,0891-2432,,Sage Publications Ltd.,U.S.A.,Core Coverage - Actively Indexed
"Gender Zeitschrift fur Geschlect, Kultur und Gesellschaft",1868-7245,,Verlag Barbara Budrich,Germany,Core Coverage - Actively Indexed
"Gender, place and culture: a journal of feminist geography",0966-369X,1360-0524,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
"Gender, technology and development",0971-8524,,Sage Publications India,India,Core Coverage - Actively Indexed
"Gender, work and organization",0968-6673,1468-0432,Wiley-Blackwell Publishing Ltd,United Kingdom,Core Coverage - Actively Indexed
Genders,0894-9832,,Genders Journal,U.S.A.,Core Coverage - Actively Indexed
GENEROS. Multidisciplinary journal of gender studies,2014-3613,,Hipatia Press,Spain,Core Coverage - Actively Indexed
Geneses,1155-3219,,Editions Belin,France,Selective Coverage - Actively Indexed
Genocide studies and prevention,1911-0359,,University of Toronto Press,Canada,Core Coverage - Actively Indexed
Genus: An international journal of demography,0016-6987,,Genus,Italy,Core Coverage - Actively Indexed
Geocarrefour,1627-4873,,Association des amis de la revue de geographie de Lyon,France,Core Coverage - Actively Indexed
Geoeconomie,1620-9869,,L'Institut Choiseul,France,Core Coverage - Actively Indexed
Geoforum,0016-7185,,Elsevier Science,United Kingdom,Core Coverage - Actively Indexed
Geografiska annaler: Series B DS Human geography,0435-3684,1468-0467,Wiley-Blackwell Publishing Ltd.,Sweden,Core Coverage - Actively Indexed
Geographia polonica,0016-7282,,"Institute of Geography and Spatial Organization, Polish Academy of Sciences",Poland,Core Coverage - Actively Indexed
Geographical journal,0016-7398,1475-4959,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
Geographical research,1745-5863,,Blackwell Publishing,Australia,Core Coverage - Actively Indexed
Geographical review,0016-7428,,Wiley-Blackwell,U.S.A.,Selective Coverage - Actively Indexed
Geographie et cultures,1165-0354,,Editions Harmattan,France,Core Coverage - Actively Indexed
"Geographie, economie, societe",1295-926X,,Lavoisier,France,Selective Coverage - Actively Indexed
Geographische Rundschau,0016-7460,,Westermann Schulbuchverlag,Germany,Core Coverage - Actively Indexed
Geographische Zeitschrift,0016-7479,,Franz Steiner Verlag,Germany,Core Coverage - Actively Indexed
Geojournal: an international journal on human geography,0343-2521,1572-9893,Springer,Netherlands,Core Coverage - Actively Indexed
Geopolitica(s): revista de estudios sobre espacio y poder,2172-3958,,Universidad Complutense de Madrid,Spain,Core Coverage - Actively Indexed
Geopolitics,1465-0045,,"Frank Cass, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
"Geopolitics, history and international relations",1948-9145,,Addleton Academic Publishers,U.S.A.,Core Coverage - Actively Indexed
Geopolitique africaine,,,African Geopolitics,France,Core Coverage - Actively Indexed
George Washington international law review,0748-4305,,"George Washington University, National Law Center",U.S.A.,Core Coverage - Actively Indexed
German economic review,1465-6485,,Blackwell Publishing,United Kingdom,Selective Coverage - Actively Indexed
German history: the journal of the German History Society,0266-3554,,Oxford University Press,United Kingdom,Core Coverage - Actively Indexed
German Law Journal,,2071-8322,,,Core Coverage - Actively Indexed
German politics,0964-4008,1743-8993,Taylor and Francis Ltd,United Kingdom,Core Coverage - Actively Indexed
German studies review,0149-7952,,German Studies Association,U.S.A.,Core Coverage - Actively Indexed
Gerontologie et societe,0151-0193,,Fondation Nationale de Gerontologie,France,Core Coverage - Actively Indexed
Geschichte und Gesellschaft,0340-613X,,Vandenhoeck & Ruprecht,Germany,Core Coverage - Actively Indexed
GFK Marketing intelligence review,1865-5866,,Duncker & Humblot,Germany,Selective Coverage - Actively Indexed
Ghana journal of development studies,0855-6768,,Ghana Journal of Development Studies,Ghana,Core Coverage - Actively Indexed
Giornale degli economisti e annali di economia,0017-0097,,Egea SpA,Italy,Core Coverage - Actively Indexed
Global business and economics review,1097-4954,,Inderscience Enterprises Limited,Switzerland,Core Coverage - Actively Indexed
"Global change, peace and security",1478-1158,,Taylor & Francis,United Kingdom,Core Coverage - Actively Indexed
Global crime,1744-0572,,Taylor and Francis Ltd.,United Kingdom,Core Coverage - Actively Indexed
Global dialogue,1450-0590,,Centre for World Dialogue,Cyprus,Core Coverage - Actively Indexed
Global economic review,1226-508X,,Taylor and Francis,United Kingdom,Core Coverage - Actively Indexed
Global economy journal,1553-5304,,Berkeley Electronic Press,U.S.A.,Core Coverage - Actively Indexed
Global environmental change: human and policy dimensions,0959-3780,,Elsevier,U.S.A.,Core Coverage - Actively Indexed
Global governance,1075-2846,,Lynne Rienner Publishers,U.S.A.,Core Coverage - Actively Indexed
Global health action,1654-9880,,Co-Action Publishing,Sweden,Core Coverage - Actively Indexed
Global journal of emerging market economies,0974-9101,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
Global labour journal,1918-6711,,McMaster University,Canada,Core Coverage - Actively Indexed
Global media and communication,1742-7665,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
Global Media Journal Turkish Edition,1309-7601,,Global Media Journal,Turkey,Core Coverage - Actively Indexed
Global networks: a journal of transnational affairs,1470-2266,,Blackwell Publishing,United Kingdom,Core Coverage - Actively Indexed
Global public health,1744-1692,,Taylor and Francis,United Kingdom,Core Coverage - Actively Indexed
Global social policy: an interdisciplinary journal of public policy and social development,1468-0181,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
Global society,1360-0826,,"Carfax Publishing, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
"Globalisation, societies and education",1476-7724,,Taylor and Francis,United Kingdom,Core Coverage - Actively Indexed
Globalizations,1474-7731,,"Routledge, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Globe: revue internationale d'etudes Quebecoises,1481-5869,,Universite du Quebec a Montreal,Canada,Selective Coverage - Actively Indexed
GLQ: a journal of gay and lesbian studies,1064-2684,,Duke University Press,U.S.A.,Core Coverage - Actively Indexed
Gospodarka narodowa,0867-0005,,Gospodarka Narodowa,Poland,Core Coverage - Actively Indexed
Gosudarstvo i pravo,0132-0769,,Izdatel'stvo Nauka,Russia,Core Coverage - Actively Indexed
Governance,0952-1895,1468-0491,Wiley-Blackwell Publising Ltd.,United Kingdom,Core Coverage - Actively Indexed
Government and opposition,0017-257X,1477-7053,Wiley-Blackwell Publishing Ltd.,United Kingdom,Core Coverage - Actively Indexed
Gradhiva,0764-8928,,Musee de Quai Branly,France,Core Coverage - Actively Indexed
Grassroots development,0733-6608,,Inter-American Foundation,U.S.A.,Core Coverage - Actively Indexed
Greener management international,0966-9671,,Greenleaf Publishing Ltd,United Kingdom,Core Coverage - Actively Indexed
Group analysis: the journal of group analytic psychotherapy,0533-3164,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
Group and organization management: an international journal,1059-6011,,Sage Publications,U.S.A.,Core Coverage - Actively Indexed
Group decision and negotiation,0926-2644,,Springer,Netherlands,Core Coverage - Actively Indexed
Group processes and intergroup relations,1368-4302,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
Groupwork,0951-824X,,Whiting and Birch,United Kingdom,Core Coverage - Actively Indexed
Growth and change,0017-4815,,Blackwell Publishing,United Kingdom,Core Coverage - Actively Indexed
Gruppendynamik und Organisationsberatung,1618-7849,,VS Verlag fur Sozialwissenschaften,Germany,Core Coverage - Actively Indexed
Guerres mondiales et conflits contemporains,0984-2292,,Presses Universitaires de France,France,Core Coverage - Actively Indexed
GYAN: journal of education,0972-9992,,Advanced Institute of Management,India,Core Coverage - Actively Indexed
Habitat international,0197-3975,,Elsevier Science,United Kingdom,Core Coverage - Actively Indexed
Hacienda publica espanola: revista de economia publica,0210-1173,,Instituto de Estudios Fiscales,Spain,Core Coverage - Actively Indexed
Hagar: international social science review,1565-3323,,Ben Gurion University,Israel,Core Coverage - Actively Indexed
Hague journal of diplomacy,1871-1901,,Martinus Nijhoff Publishers,Netherlands,Core Coverage - Actively Indexed
Hague journal on the rule of law,1876-4045,1876-4053,T.M.C. Asser Press,Netherlands,Core Coverage - Actively Indexed
Hallinnon tutkimus,0359-6680,,Hallinon Tutkimuksen Seura = Sallskapet for Forvaltningsforskning,Finland,Selective Coverage - Actively Indexed
Harvard journal of Asiatic studies,0073-0548,,Harvard-Yenching Institute,U.S.A.,Core Coverage - Actively Indexed
Harvard law review,0017-811X,,Harvard Law Review Association,U.S.A.,Core Coverage - Actively Indexed
Health - an interdisciplinary journal,1363-4593,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
Health and human rights,1079-0969,,Harvard School of Public Health,U.S.A.,Core Coverage - Actively Indexed
Health and place,1353-8292,,Elsevier Science,Netherlands,Core Coverage - Actively Indexed
Health and social work,0360-7283,,Oxford University Press,U.S.A.,Core Coverage - Actively Indexed
Health care analysis,1065-3058,,Springer,Netherlands,Core Coverage - Actively Indexed
Health care for women international,0739-9332,,Taylor & Francis,United Kingdom,Core Coverage - Actively Indexed
"Health economics, policy and law",1744-1331,,Cambridge University Press,United Kingdom,Core Coverage - Actively Indexed
Health education journal,0017-8969,,Sage Publications,United Kingdom,Core Coverage - Actively Indexed
Health policy,0168-8510,,Elsevier Science,Ireland,Core Coverage - Actively Indexed
Health policy and planning: a journal on health in development,0268-1080,,Oxford University Press,United Kingdom,Core Coverage - Actively Indexed
Health sociology review,1446-1242,,eContent Management Pty Ltd,Australia,Core Coverage - Actively Indexed
"Health, risk and society",1369-8575,,"Carfax Publishing, Taylor and Francis Ltd",United Kingdom,Core Coverage - Actively Indexed
Hebrew studies,0146-4094,,National Association of Professors of Hebrew,U.S.A.,Core Coverage - Actively Indexed
Hedgehog review: critical reflections on contemporary culture,1527-9677,,Institute for Advanced Studies in Culture,U.S.A.,Core Coverage - Actively Indexed
Hemispheres: studies on cultures and societies,0239-8818,,Wydawnictwo Naukowe ASKON Sp.z.o.o.,Poland,Core Coverage - Actively Indexed
Herodote,0338-487X,,Editions Masson,France,Selective Coverage - Actively Indexed
Hevrah u-revahah/Society and welfare,0334-4029,,Ministry of Labour and Social Affairs,Israel,Core Coverage - Actively Indexed
Higher education,0018-1560,,Springer,Netherlands,Core Coverage - Actively Indexed
Higher education policy,0952-8733,,Palgrave Macmillan,United Kingdom,Core Coverage - Actively Indexed
Hispanic American historical review,0018-2168,,Duke University Press,U.S.A.,Core Coverage - Actively Indexed
"Histoire, economie et societe",0752-5702,,Armand Colin,France,Core Coverage - Actively Indexed
Histoire@Politique,1954-3670,,Centre d'histoire de Sciences Po,,Core Coverage - Actively Indexed
Historia mexicana: Revista trimestral publicada por el Centro de estudios historicos de el Colegio de Mexico,0185-0172,,Colegio de Mexico,Mexico,Core Coverage - Actively Indexed
Historia y espacio,0120-4661,,"Universidad del Valle, Colombia",Colombia,Core Coverage - Actively Indexed
Historia y sociedad,0121-8417,,Universidad Nacional de Colombia,Colombia,Core Coverage - Actively Indexed
Historia: journal of the Historical Association of South Africa,0018-229X,,"University of Pretoria, Department of Historical and Heritage Studies",South Africa,Core Coverage - Actively Indexed
Historical archaeology,0440-9213,,Society for Historical Archaeology,U.S.A.,Core Coverage - Actively Indexed
Historical journal,0018-246X,,Cambridge University Press,United Kingdom,Core Coverage - Actively Indexed
Historical social research/Historische Sozialforschung,0172-6404,,GESIS,Germany,Core Coverage - Actively Indexed
Historicky casopis,0018-2575,,Slovak Academic Press,Slovakia,Core Coverage - Actively Indexed
